Date,IPSA,CU,s&p
31-03-2010,52.73,28.82,1169.43
01-04-2010,54.18,28.04,1186.69
03-05-2010,53.18,24.58,1089.41
01-06-2010,54.41,21.42,1030.71
01-07-2010,60.13,26.24,1101.6
02-08-2010,64.93,25.51,1049.33
01-09-2010,71.04,31.39,1141.2
01-10-2010,72.79,34.27,1183.26
01-11-2010,73.55,34.42,1180.55
01-12-2010,76.4,40.64,1257.64
03-01-2011,68.49,39.52,1286.12
01-02-2011,67.07,40.33,1327.22
01-03-2011,68.95,40.53,1325.83
01-04-2011,75.09,43.14,1363.61
02-05-2011,73.9,39.74,1345.2
01-06-2011,73.28,39.57,1320.64
01-07-2011,67.67,39.47,1292.28
01-08-2011,65.73,35.42,1218.89
01-09-2011,51.73,24.6,1131.42
03-10-2011,61.13,31.05,1253.3
01-11-2011,57.2,29.4,1246.96
01-12-2011,56.15,28.45,1257.6
03-01-2012,60.54,32.74,1312.41
01-02-2012,66.07,33.74,1365.68
01-03-2012,66.46,30.27,1408.47
02-04-2012,65.53,30.03,1397.91
01-05-2012,57.94,24.19,1310.33
01-06-2012,60.68,24.82,1362.16
02-07-2012,60.44,24.33,1379.32
01-08-2012,59.31,25,1406.58
04-09-2012,61.3,27.95,1440.67
01-10-2012,60.74,28.08,1412.16
01-11-2012,59.27,28.35,1416.18
03-12-2012,62.5,29.98,1426.19
02-01-2013,66.15,30.12,1498.11
01-02-2013,65.31,27.3,1514.68
01-03-2013,64.15,25.57,1569.19
01-04-2013,62,23.66,1597.57
01-05-2013,56.57,23,1630.74
03-06-2013,53.79,20.16,1606.28
01-07-2013,48.85,20.51,1685.96
